num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.005,0.539,0.543,0.543,0.543,0.543
100,0.003,0.726,0.735,0.735,0.735,0.735
150,0.002,0.8,0.808,0.808,0.808,0.808
200,0.002,0.839,0.848,0.848,0.848,0.848
250,213739405312.0,0.864,0.87,0.87,0.87,0.87
300,1.728598630575108e+22,0.881,0.883,0.883,0.883,0.883
350,0.001,0.892,0.894,0.894,0.894,0.894
400,0.001,0.902,0.904,0.904,0.904,0.904
450,-720995958652928.0,0.909,0.911,0.911,0.911,0.911
500,0.001,0.916,0.916,0.916,0.916,0.916
550,0.001,0.921,0.92,0.92,0.92,0.92
600,0.001,0.925,0.924,0.924,0.924,0.924
650,0.001,0.928,0.927,0.927,0.927,0.927
700,1.4781339543588045e+17,0.932,0.931,0.931,0.931,0.931
750,0.001,0.933,0.932,0.932,0.932,0.932
800,0.001,0.937,0.936,0.936,0.936,0.936
850,0.001,0.939,0.938,0.938,0.938,0.938
900,1.4579488106584474e+17,0.94,0.94,0.94,0.94,0.94
950,0.001,0.942,0.942,0.942,0.942,0.942
1000,0.001,0.944,0.944,0.944,0.944,0.944
1050,1.483400099659776e+17,0.946,0.946,0.946,0.946,0.946
1100,0.001,0.948,0.947,0.947,0.947,0.947
1150,0.001,0.949,0.947,0.947,0.947,0.947
1200,1.40334722433453e+23,0.95,0.949,0.949,0.949,0.949
1250,0.001,0.951,0.949,0.949,0.949,0.949
1300,0.001,0.952,0.95,0.95,0.95,0.95
1350,0.001,0.954,0.951,0.951,0.951,0.951
1400,0.001,0.954,0.952,0.952,0.952,0.952
1450,1.4428272616013824e+17,0.955,0.952,0.952,0.952,0.952
1500,0.001,0.956,0.954,0.954,0.954,0.954
1550,0.001,0.957,0.954,0.954,0.954,0.954
1600,0.001,0.958,0.955,0.955,0.955,0.955
1650,0.001,0.959,0.956,0.956,0.956,0.956
1700,0.001,0.959,0.955,0.955,0.955,0.955
1750,0.001,0.96,0.956,0.956,0.956,0.956
1800,0.0,0.961,0.957,0.957,0.957,0.957
1850,0.0,0.961,0.957,0.957,0.957,0.957
1900,0.0,0.962,0.958,0.958,0.958,0.958
1950,-6.511617482163854e+19,0.962,0.958,0.958,0.958,0.958
2000,0.0,0.963,0.959,0.959,0.959,0.959
