num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.006,0.533,0.536,0.536,0.536,0.536
100,0.004,0.717,0.722,0.722,0.722,0.722
150,0.003,0.792,0.797,0.797,0.797,0.797
200,1927918343159808.0,0.833,0.833,0.833,0.833,0.833
250,0.002,0.855,0.855,0.855,0.855,0.855
300,0.002,0.873,0.875,0.875,0.875,0.875
350,0.002,0.886,0.886,0.886,0.886,0.886
400,0.001,0.894,0.898,0.898,0.898,0.898
450,0.001,0.902,0.906,0.906,0.906,0.906
500,2007599247523840.0,0.908,0.909,0.909,0.909,0.909
550,0.001,0.914,0.914,0.914,0.914,0.914
600,1.9853173201341084e+21,0.918,0.919,0.919,0.919,0.919
650,0.001,0.923,0.923,0.923,0.923,0.923
700,0.001,0.927,0.926,0.926,0.926,0.926
750,0.001,0.93,0.929,0.929,0.929,0.929
800,0.001,0.932,0.932,0.932,0.932,0.932
850,0.001,0.934,0.935,0.935,0.935,0.935
900,0.001,0.936,0.936,0.936,0.936,0.936
950,-567453562175488.0,0.939,0.937,0.937,0.937,0.937
1000,0.001,0.94,0.94,0.94,0.94,0.94
1050,0.001,0.942,0.941,0.941,0.941,0.941
1100,0.001,0.944,0.943,0.943,0.943,0.943
1150,0.001,0.945,0.944,0.944,0.944,0.944
1200,0.001,0.947,0.946,0.946,0.946,0.946
1250,0.001,0.948,0.946,0.946,0.946,0.946
1300,0.001,0.949,0.948,0.948,0.948,0.948
1350,0.001,0.95,0.948,0.948,0.948,0.948
1400,0.001,0.951,0.948,0.948,0.948,0.948
1450,0.001,0.952,0.95,0.95,0.95,0.95
1500,0.001,0.953,0.95,0.95,0.95,0.95
1550,0.001,0.954,0.951,0.951,0.951,0.951
1600,0.001,0.955,0.951,0.951,0.951,0.951
1650,0.001,0.956,0.953,0.953,0.953,0.953
1700,0.001,0.956,0.953,0.953,0.953,0.953
1750,0.001,0.957,0.954,0.954,0.954,0.954
1800,0.001,0.958,0.954,0.954,0.954,0.954
1850,4329327104.0,0.958,0.955,0.955,0.955,0.955
1900,0.001,0.959,0.955,0.955,0.955,0.955
1950,0.001,0.96,0.956,0.956,0.956,0.956
2000,3518437376.0,0.961,0.957,0.957,0.957,0.957
