num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.011,0.398,0.395,0.395,0.395,0.395
100,-0.266,0.111,0.11,0.11,0.11,0.11
150,2382.953,0.078,0.076,0.076,0.076,0.076
200,0.499,0.097,0.098,0.098,0.098,0.098
250,10.311,0.097,0.098,0.098,0.098,0.098
300,12308.114,0.097,0.098,0.098,0.098,0.098
350,12308.107,0.097,0.098,0.098,0.098,0.098
400,12903.33,0.097,0.098,0.098,0.098,0.098
450,20425.486,0.097,0.098,0.098,0.098,0.098
500,19331.631,0.097,0.098,0.098,0.098,0.098
550,19331.635,0.097,0.098,0.098,0.098,0.098
600,4267.09,0.097,0.098,0.098,0.098,0.098
650,305588.781,0.097,0.098,0.098,0.098,0.098
700,161185.766,0.097,0.098,0.098,0.098,0.098
750,254782.562,0.097,0.098,0.098,0.098,0.098
800,2291969.0,0.097,0.098,0.098,0.098,0.098
850,1069074.625,0.097,0.098,0.098,0.098,0.098
900,3670483.25,0.097,0.098,0.098,0.098,0.098
950,16191790.0,0.097,0.098,0.098,0.098,0.098
1000,91989408.0,0.097,0.098,0.098,0.098,0.098
1050,80584376.0,0.097,0.098,0.098,0.098,0.098
1100,417654752.0,0.097,0.098,0.098,0.098,0.098
1150,229993120.0,0.097,0.098,0.098,0.098,0.098
1200,6110336512.0,0.097,0.098,0.098,0.098,0.098
1250,2681931825152.0,0.097,0.098,0.098,0.098,0.098
1300,4.2862835593222554e+17,0.028,0.026,0.026,0.026,0.026
1350,5.667243639740159e+21,0.099,0.096,0.096,0.096,0.096
1400,2.5003567197115574e+24,0.102,0.101,0.101,0.101,0.101
1450,3.289625579538935e+26,0.099,0.098,0.098,0.098,0.098
1500,2.0996321403611976e+29,0.099,0.098,0.098,0.098,0.098
1550,1.8984160607358667e+32,0.102,0.101,0.101,0.101,0.101
1600,nan,0.112,0.113,0.113,0.113,0.113
1650,nan,0.112,0.113,0.113,0.113,0.113
1700,nan,0.112,0.113,0.113,0.113,0.113
1750,nan,0.112,0.113,0.113,0.113,0.113
1800,nan,0.112,0.113,0.113,0.113,0.113
1850,nan,0.112,0.113,0.113,0.113,0.113
1900,nan,0.112,0.113,0.113,0.113,0.113
1950,nan,0.112,0.113,0.113,0.113,0.113
2000,nan,0.112,0.113,0.113,0.113,0.113
