num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.006,0.548,0.551,0.551,0.551,0.551
100,0.003,0.723,0.725,0.725,0.725,0.725
150,0.003,0.801,0.805,0.805,0.805,0.805
200,0.002,0.835,0.837,0.837,0.837,0.837
250,0.002,0.858,0.862,0.862,0.862,0.862
300,0.002,0.873,0.879,0.879,0.879,0.879
350,0.002,0.885,0.891,0.891,0.891,0.891
400,0.001,0.893,0.9,0.9,0.9,0.9
450,0.001,0.901,0.905,0.905,0.905,0.905
500,0.001,0.907,0.911,0.911,0.911,0.911
550,0.001,0.911,0.914,0.914,0.914,0.914
600,0.001,0.915,0.918,0.918,0.918,0.918
650,0.001,0.919,0.92,0.92,0.92,0.92
700,0.001,0.923,0.923,0.923,0.923,0.923
750,0.001,0.926,0.927,0.927,0.927,0.927
800,5.904280244329225e+19,0.927,0.929,0.929,0.929,0.929
850,0.001,0.93,0.931,0.931,0.931,0.931
900,117053464576.0,0.932,0.934,0.934,0.934,0.934
950,0.001,0.934,0.935,0.935,0.935,0.935
1000,0.001,0.937,0.939,0.939,0.939,0.939
1050,0.001,0.938,0.939,0.939,0.939,0.939
1100,0.001,0.94,0.941,0.941,0.941,0.941
1150,552450939420672.0,0.941,0.94,0.94,0.94,0.94
1200,0.001,0.943,0.943,0.943,0.943,0.943
1250,0.001,0.944,0.945,0.945,0.945,0.945
1300,0.001,0.946,0.945,0.945,0.945,0.945
1350,0.001,0.947,0.946,0.946,0.946,0.946
1400,5.90717767737074e+19,0.948,0.948,0.948,0.948,0.948
1450,0.001,0.949,0.947,0.947,0.947,0.947
1500,0.001,0.949,0.949,0.949,0.949,0.949
1550,0.001,0.951,0.95,0.95,0.95,0.95
1600,0.001,0.952,0.951,0.951,0.951,0.951
1650,0.001,0.953,0.95,0.95,0.95,0.95
1700,0.001,0.953,0.952,0.952,0.952,0.952
1750,0.001,0.954,0.953,0.953,0.953,0.953
1800,0.001,0.955,0.952,0.952,0.952,0.952
1850,0.001,0.956,0.954,0.954,0.954,0.954
1900,0.001,0.956,0.953,0.953,0.953,0.953
1950,0.001,0.957,0.954,0.954,0.954,0.954
2000,0.001,0.957,0.954,0.954,0.954,0.954
