num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.007,0.438,0.429,0.429,0.429,0.429
100,-8652.578,0.583,0.581,0.581,0.581,0.581
150,0.004,0.668,0.669,0.669,0.669,0.669
200,0.004,0.728,0.734,0.734,0.734,0.734
250,-8652.578,0.768,0.772,0.772,0.772,0.772
300,-8652.587,0.797,0.803,0.803,0.803,0.803
350,0.002,0.823,0.825,0.825,0.825,0.825
400,0.002,0.837,0.839,0.839,0.839,0.839
450,-554680704.0,0.851,0.852,0.852,0.852,0.852
500,-8652.587,0.861,0.862,0.862,0.862,0.862
550,-14193676.0,0.872,0.869,0.869,0.869,0.869
600,0.002,0.879,0.879,0.879,0.879,0.879
650,-8652.587,0.886,0.884,0.884,0.884,0.884
700,-1828475109376.0,0.891,0.89,0.89,0.89,0.89
750,-8652.587,0.896,0.893,0.893,0.893,0.893
800,0.001,0.902,0.898,0.898,0.898,0.898
850,-8652.587,0.906,0.903,0.903,0.903,0.903
900,-8652.587,0.91,0.903,0.903,0.903,0.903
950,-1810293456896.0,0.913,0.907,0.907,0.907,0.907
1000,55439035203584.0,0.915,0.91,0.91,0.91,0.91
1050,-8652.587,0.919,0.914,0.914,0.914,0.914
1100,0.001,0.92,0.916,0.916,0.916,0.916
1150,-8652.578,0.923,0.918,0.918,0.918,0.918
1200,0.001,0.925,0.919,0.919,0.919,0.919
1250,-8652.578,0.928,0.921,0.921,0.921,0.921
1300,-8652.587,0.929,0.922,0.922,0.922,0.922
1350,-8652.578,0.931,0.924,0.924,0.924,0.924
1400,0.001,0.933,0.927,0.927,0.927,0.927
1450,-8652.587,0.935,0.93,0.93,0.93,0.93
1500,-26830740.0,0.935,0.929,0.929,0.929,0.929
1550,-8652.587,0.938,0.932,0.932,0.932,0.932
1600,0.001,0.938,0.932,0.932,0.932,0.932
1650,0.001,0.941,0.936,0.936,0.936,0.936
1700,0.001,0.941,0.935,0.935,0.935,0.935
1750,-8652.587,0.943,0.936,0.936,0.936,0.936
1800,-8652.587,0.944,0.938,0.938,0.938,0.938
1850,-8652.578,0.944,0.938,0.938,0.938,0.938
1900,0.001,0.946,0.941,0.941,0.941,0.941
1950,-1807712780288.0,0.946,0.941,0.941,0.941,0.941
2000,-14440399.0,0.948,0.942,0.942,0.942,0.942
