num_iter,lossValue,trainAccuracy,predictionAccuracy,predictionPrecision,predictionRecall,predictionF1
50,0.012,0.393,0.394,0.394,0.394,0.394
100,0.038,0.094,0.094,0.094,0.094,0.094
150,1759.168,0.077,0.077,0.077,0.077,0.077
200,12.868,0.097,0.098,0.098,0.098,0.098
250,4.292,0.097,0.098,0.098,0.098,0.098
300,5.708,0.097,0.098,0.098,0.098,0.098
350,98.858,0.097,0.098,0.098,0.098,0.098
400,6016.319,0.097,0.098,0.098,0.098,0.098
450,168625520.0,0.102,0.104,0.104,0.104,0.104
500,1155713536.0,0.076,0.078,0.078,0.078,0.078
550,13541450973184.0,0.093,0.096,0.096,0.096,0.096
600,9.814608438729114e+16,0.102,0.108,0.108,0.108,0.108
650,4.9573559375452806e+20,0.09,0.089,0.089,0.089,0.089
700,3.0208207951121667e+23,0.09,0.089,0.089,0.089,0.089
750,2.5264618255841232e+26,0.09,0.089,0.089,0.089,0.089
800,1.8188628966488863e+29,0.097,0.098,0.098,0.098,0.098
850,1.1523489616832547e+32,0.097,0.098,0.098,0.098,0.098
900,inf,0.097,0.098,0.098,0.098,0.098
950,nan,0.099,0.103,0.103,0.103,0.103
1000,nan,0.099,0.103,0.103,0.103,0.103
1050,nan,0.099,0.103,0.103,0.103,0.103
1100,nan,0.099,0.103,0.103,0.103,0.103
1150,nan,0.099,0.103,0.103,0.103,0.103
1200,nan,0.099,0.103,0.103,0.103,0.103
1250,nan,0.099,0.103,0.103,0.103,0.103
1300,nan,0.099,0.103,0.103,0.103,0.103
1350,nan,0.099,0.103,0.103,0.103,0.103
1400,nan,0.099,0.103,0.103,0.103,0.103
1450,nan,0.099,0.103,0.103,0.103,0.103
1500,nan,0.099,0.103,0.103,0.103,0.103
1550,nan,0.099,0.103,0.103,0.103,0.103
1600,nan,0.099,0.103,0.103,0.103,0.103
1650,nan,0.099,0.103,0.103,0.103,0.103
1700,nan,0.099,0.103,0.103,0.103,0.103
1750,nan,0.099,0.103,0.103,0.103,0.103
1800,nan,0.099,0.103,0.103,0.103,0.103
1850,nan,0.099,0.103,0.103,0.103,0.103
1900,nan,0.099,0.103,0.103,0.103,0.103
1950,nan,0.099,0.103,0.103,0.103,0.103
2000,nan,0.099,0.103,0.103,0.103,0.103
